Time,Data
1708123512.790267,0.25293226407140657
1708123513.795371,0.7922302497033586
1708123514.797028,0.40957348188430565
1708123515.799686,0.7510295091942693
1708123516.80057,0.923091301302499
1708123517.8050041,0.8886178348609015
1708123518.8097322,0.6549031869748566
1708123519.8149009,0.6846633451178532
1708123520.819901,0.8427423721108173
1708123521.825052,0.42078583094304567
1708123522.8302348,0.22253390994157485
1708123523.835459,0.8848851382551906
1708123524.840368,0.7069637609314103
1708123525.8455539,0.3027601443764686
1708123526.850772,0.3392867059884296
1708123527.855968,0.9964611786972633
1708123528.860736,0.9310167695004244
1708123529.864907,0.47183072871579934
1708123530.868315,0.2864119966057723
1708123531.873489,0.02899638960769202
1708123532.87868,0.7210644339301254
1708123533.883847,0.6569004636145885
1708123534.888983,0.6481329498474756
1708123535.8941708,0.6857259126108274
1708123536.895527,0.6266962340287379
1708123537.898433,0.28006789938041765
1708123538.903618,0.2674309825673674
1708123539.908779,0.293321370319513
1708123540.911371,0.29804315111738033
1708123541.91655,0.19279907399490093
